post_id,url,forum,queued_at,post_date,tag
1778477782,https://www.ptt.cc/bbs/Japan_Travel/M.1778477782.A.36C.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-11,問題
1778478985,https://www.ptt.cc/bbs/Japan_Travel/M.1778478985.A.D16.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-11,問題
1778482213,https://www.ptt.cc/bbs/Japan_Travel/M.1778482213.A.D5D.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-11,問題
1778176846,https://www.ptt.cc/bbs/Japan_Travel/M.1778176846.A.CC6.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-07,遊記
1778213445,https://www.ptt.cc/bbs/Japan_Travel/M.1778213445.A.92C.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-08,問題
1778213647,https://www.ptt.cc/bbs/Japan_Travel/M.1778213647.A.1AD.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-08,遊記
1778220722,https://www.ptt.cc/bbs/Japan_Travel/M.1778220722.A.A68.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-08,食記
1778224752,https://www.ptt.cc/bbs/Japan_Travel/M.1778224752.A.66A.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-08,問題
1778244763,https://www.ptt.cc/bbs/Japan_Travel/M.1778244763.A.5E9.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-08,問題
1778255099,https://www.ptt.cc/bbs/Japan_Travel/M.1778255099.A.2FC.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-08,問題
1778260592,https://www.ptt.cc/bbs/Japan_Travel/M.1778260592.A.4FF.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-08,遊記
1778330235,https://www.ptt.cc/bbs/Japan_Travel/M.1778330235.A.699.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-09,遊記
1778355799,https://www.ptt.cc/bbs/Japan_Travel/M.1778355799.A.347.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-09,問題
1778379849,https://www.ptt.cc/bbs/Japan_Travel/M.1778379849.A.1FD.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-10,問題
1778386905,https://www.ptt.cc/bbs/Japan_Travel/M.1778386905.A.76C.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-10,遊記
1778085998,https://www.ptt.cc/bbs/Japan_Travel/M.1778085998.A.A7F.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-06,問題
1778114559,https://www.ptt.cc/bbs/Japan_Travel/M.1778114559.A.37E.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-07,問題
1778127269,https://www.ptt.cc/bbs/Japan_Travel/M.1778127269.A.55F.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-07,問題
1778137664,https://www.ptt.cc/bbs/Japan_Travel/M.1778137664.A.0F4.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-07,遊記
1778137825,https://www.ptt.cc/bbs/Japan_Travel/M.1778137825.A.5BE.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-07,遊記
1778147353,https://www.ptt.cc/bbs/Japan_Travel/M.1778147353.A.DD4.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-07,問題
1778171159,https://www.ptt.cc/bbs/Japan_Travel/M.1778171159.A.4A2.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-07,問題
1778171228,https://www.ptt.cc/bbs/Japan_Travel/M.1778171228.A.08E.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-07,遊記
1777828284,https://www.ptt.cc/bbs/Japan_Travel/M.1777828284.A.E0C.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-03,問題
1777829751,https://www.ptt.cc/bbs/Japan_Travel/M.1777829751.A.E9D.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-03,問題
1777890709,https://www.ptt.cc/bbs/Japan_Travel/M.1777890709.A.A11.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-04,問題
1777895813,https://www.ptt.cc/bbs/Japan_Travel/M.1777895813.A.285.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-04,遊記
1777948463,https://www.ptt.cc/bbs/Japan_Travel/M.1777948463.A.1C3.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-05,遊記
1777952364,https://www.ptt.cc/bbs/Japan_Travel/M.1777952364.A.7D9.html,ptt_Japan_Travel,2026-05-15T08:54:25.527646+00:00,2026-05-05,問題
